id,x,y,z,mass,vx,vy,vz,eps
18091,-10.6538,-19.6049,0.374328,0.00119065,1.30844,-0.636725,-0.0776211,0.133472
18092,0.373361,22.6946,0.319978,0.00119065,-1.43261,0.00721286,-0.0322985,0.133472
18093,-22.9452,0.468392,0.15174,0.00119065,0.0795229,-1.40783,-0.141795,0.133472
18094,1.22225,21.3813,-2.70199,0.00119065,-1.44853,0.277801,0.204159,0.133472
18095,-15.5343,15.1874,-0.691776,0.00119065,-0.99126,-1.11886,0.0112026,0.133472
18096,19.8499,6.23717,1.05453,0.00119065,-0.396097,1.4976,0.0980185,0.133472
18097,-22.4579,3.90988,-0.225148,0.00119065,-0.330234,-1.37666,0.181776,0.133472
18098,-20.5362,-8.82569,1.96302,0.00119065,0.62489,-1.29851,0.0103479,0.133472
18099,10.7266,-19.7484,1.41362,0.00119065,1.26865,0.678928,0.0585928,0.133472
18100,5.94335,-22.8916,-1.00487,0.00119065,1.32016,0.353972,-0.073638,0.133472
18101,14.165,-17.4158,-1.59868,0.00119065,1.10676,0.917783,0.0715201,0.133472
18102,-18.7242,9.62008,1.04799,0.00119065,-0.692824,-1.37047,-0.050062,0.133472
18103,9.19549,20.0367,0.832949,0.00119065,-1.30022,0.686506,-0.0952295,0.133472
18104,-15.5516,-16.6129,-1.01124,0.00119065,1.00588,-1.00813,-0.0783275,0.133472
18105,16.05,-16.2108,0.993287,0.00119065,0.98202,1.02882,-0.05397,0.133472
18106,-11.9591,18.9923,-2.75427,0.00119065,-1.15911,-0.824651,0.082275,0.133472
18107,-12.239,19.3133,-0.687157,0.00119065,-1.20152,-0.754438,0.103783,0.133472
18108,2.89639,22.4654,1.89711,0.00119065,-1.39395,0.265598,0.123953,0.133472
18109,14.7479,-15.5234,-0.609758,0.00119065,0.927588,1.14159,-0.37479,0.133472
18110,-0.693999,-21.2993,0.798619,0.00119065,1.51548,0.0545501,-0.147753,0.133472
18111,-21.2841,-8.96359,1.11747,0.00119065,0.576319,-1.21543,0.408558,0.133472
18112,-7.83211,20.2924,0.376175,0.00119065,-1.42622,-0.451358,-0.0668157,0.133472
18113,21.5673,7.33631,-0.764633,0.00119065,-0.471693,1.34782,0.0537046,0.133472
18114,-22.8073,-3.12024,0.7971,0.00119065,-0.0668994,-1.4072,-0.116874,0.133472
18115,-18.9497,12.1327,1.31303,0.00119065,-0.608216,-1.30084,-0.136668,0.133472
18116,6.58737,20.3471,0.401063,0.00119065,-1.47097,0.376294,-0.10375,0.133472
18117,20.716,-4.38791,0.757426,0.00119065,0.288206,1.50601,0.0331047,0.133472
18118,10.457,-19.5004,0.668255,0.00119065,1.33201,0.626412,-0.0354498,0.133472
18119,-0.226933,23.2651,-1.22235,0.00119065,-1.3895,0.00837764,0.12979,0.133472
18120,-9.25244,-20.5382,0.572579,0.00119065,1.2395,-0.736181,0.134604,0.133472
18121,16.7098,-16.0633,-0.112705,0.00119065,0.934932,1.02469,-0.239304,0.133472
18122,12.6282,18.0764,1.44578,0.00119065,-1.16987,0.888835,0.0951849,0.133472
18123,-5.06912,-20.9474,1.1097,0.00119065,1.44258,-0.429898,0.0950135,0.133472
18124,0.370541,21.274,0.420117,0.00119065,-1.52306,0.0390974,0.157564,0.133472
18125,-19.68,-9.76469,1.39836,0.00119065,0.691001,-1.29548,-0.175099,0.133472
18126,-12.202,15.9168,-2.43637,0.00119065,-1.22118,-1.00886,-0.106628,0.133472
18127,17.5951,-13.913,0.826731,0.00119065,0.885412,1.14465,-0.149131,0.133472
18128,13.6353,17.4073,0.561283,0.00119065,-1.17839,0.881801,-0.127925,0.133472
18129,7.64201,-22.3864,0.518939,0.00119065,1.28121,0.508427,-0.0412222,0.133472
18130,10.5799,20.3606,0.0496494,0.00119065,-1.2843,0.617198,-0.0524532,0.133472
18131,19.8442,-10.3529,1.49993,0.00119065,0.588983,1.32716,0.0478954,0.133472
18132,-20.0879,-11.7369,-1.92899,0.00119065,0.751726,-1.17097,0.0448495,0.133472
18133,19.4459,9.39108,1.36127,0.00119065,-0.609447,1.3718,-0.112473,0.133472
